Name	Location	Date	Minutes	Year	IsDenson	GoodCt	ErrCt	AmbCt	CorrCt	ProbCt	TotalCt	ProbPercent
Coy Putnam Memorial	Rocky Mount Primitive Baptist Church, Arab, Alabama	October 23, 1999	"The annual Coy Putnam Memorial Singing was called to order by Hershell King leading song on page [59]. The morning prayer was led by Elder J.L. Hopper.The class was organized, and voted to retain the following officers: Chairman - Hershell King; Vice Chairman - Jack Jordan; Arranging Committee - Carmon Brothers and Eunice Kimbrell; Secretary - Irene Jordan.Leaders: Hershell King {101}, [87]; Carmon Brothers [187], [58]; Judy Caudle [150], [403], [78]; Elder Dan Hopper [98], [147b], [287]; Seth Allred [401], [59]; Sandra Light [143], [354b]; Will Allred {274}, {354}; Jennifer Allred [183], [196].RECESSThe class was called to order by Hershell King leading song on page [112]. Leaders: Eunice Kimbrell [129], [42]; Ramona Light {138}, {28}; Susan Allred [480], [182]; Irene Jordan [84], [405], [438]; Rachel Allred [421], [159]; Marilyn Burchett [335], {81}; J.C. Rutledge {569}, [490]. The blessing for the noon meal was offered by Elder Dan Hopper.LUNCHThe afternoon session was brought to order by Hershell King leading song on page [97]. Leaders: Mary Alice Crisco [30b], [37b]; Elder J.L. Hopper [26], [352]; Judy Caudle [322], [460]; Gene Wakefield [136], [138t], [168]; Savannah Kelly [235b//235], {45}; Caleb Allred [87], [166]; Glenda Hopper [81b], [207]; Wilda Holmes “That Beautiful Land”; Carmon Brothers [340], [137]; Jennifer Allred [290]; Rachel Allred [68b]; Marilyn Burchett [551].Hershell King led song on page [80b] as the closing song. The class was dismissed with prayer led by Elder Dan Hopper.Note: Seth Allred - age 12; Will Allred - age 4; Jennifer Allred - age 15; Rachel Allred - age 8; Savannah Kelly - age 10; and Caleb Allred - age 6 were all leaders who had attended singing school.Chairman - Hershell King; Vice Chairman - Jack Jordan; Secretary - Irene Jordan."	1999	1	48	0	8	1	9	57	0.157894736842105
Seed and Feed Sacred Harp Singing	Embry Hills Methodist Church, Atlanta, Georgia	October 23, 1999	"The twenty-third annual Seed and Feed Sacred Harp Singing was held on Saturday before the fourth Sunday in October at Embry Hills Methodist Church in Atlanta. The class was called to order at 10:00 a.m. by Chairman Bryan Black leading song on page [47t]. The morning prayer was led by Eric Tweedy.Leaders: John Plunkett [78]; Laura Akerman [82t]; Doug Allison [421], [277]; Kelly Morris [147t].The class went into business session, and the following officers were elected or appointed to serve: Chairman - John Plunkett; Vice Chairlady - Helen Bryson; Secretary - Laura Akerman; Chaplain - Eric Tweedy; Arranging Committee - Kelly Morris and Doug Allison; Finance Committee - Don Bowen.Leaders: John Plunkett {52}; Helen Bryson [299], {213}; Eric Tweed [347], [311]; Jeannette DePoy [475], [542]; Andy Anderson [49b], [49t]; Margie Dietz [168], [457]; Roy Nelson {145}, [318]; Malinda Snow [68b], [551]; Reuben Ball [497], [460].RECESSJohn Plunkett brought the class back to order leading song on page [155]. Leaders: Emma Allison and Lori Allison [335]; Bill Scott [85], [71]; Diane Wall [120], [182]; Martha Ann Stegar [479], [198]; Lee Rogers [217], [350]; Jack Corley [332], [300]; Faye Pettis [67], [380].Eric Tweedy asked the blessing on the noon meal.LUNCHThe afternoon of singing began with John Plunkett leading song on page [112]. Leaders: Joan Durden [29t], [114]; Karen Morris [503], [454]; Don Bowen [117], [163b]; Cathy White [268], [84]; Larry Woodring [143], [63]; Susan Scott [480], [532]; Judy Mincey [501], [540]; Charlene Wallace [276], [441]; Elizabeth Carroll [47b], [294]; Liz Bryant [142], [384]; Laura Akerman [518]; Roy Nelson [434]; Helen Bryson [178]; Kelly Morris [535b//535]; Fran Adams [159]; John Murrill {70}, [216]; Lee Roberts [373] (in memory of Glen Swaber).John Plunkett led song on page [62] as the closing song. Eric Tweedy led the closing prayer.Chairman - John Plunkett; Vice Chairlady - Helen Bryson; Secretary - Laura Akerman."	1999	1	62	0	4	1	5	67	0.0746268656716418
Mississippi Cooper Book Convention	Mt. Olive Primitive Baptist Church, Morton, Mississippi	October 23, 1999	"The annual Mississippi Cooper Book Convention was held at Mt. Olive Primitive Baptist Church on Saturday before the fourth Sunday in October. The class was called to order by Chairman John Merritt leading song on page 36b. The morning prayer was led by Dr. Jim Fields.The class held a business meeting with the following officers elected or appointed to serve: Chairman - John Merritt; Vice Chairman - Andrew Albers; Secretary - Jean Gray; Arranging Committee - Nancy Van den Akker.Leaders: Andrew Albers 166b; Regina Glass 536; Jean Gray 154b, 108t; Jim Fields 58, 75; Don Clark 171, 186; John Etheridge 545, 300; Brenda Merritt 142; Nancy Van den Akker 440b, 319; Tommy George 348t; Bill Hogan 184b (for Bill Green), 445b; Kari Lundgren 268t, 40.RECESSThe class was called back to order by Jarrod George and John Merritt leading song on page 76b. Leaders: Dennis George and Jarrod George 137, 392; Ginnie Fields 45t, 63; Charles Franklin 176t, 146; John Lee Van Horn 140, 263; Kate Merritt 168, 543b; Tim Gray 559, 192; A.E. Probst 575, 239; Warren Steel 489, “Pilgrim” (by Lazarus Jones); John Kanode 507b, 571.A memorial lesson was conducted by John Merritt. The deceased remembered were: Gaither Jones, Louise Probst, Louise Hogan, and Durward Scarborough. “Christian Song” was led by Tim Gray in memory of his uncle, Durward Scarborough. Don Clark led “Nettie” (by Bill Green) for Robert Todd and others who were sick and shut-in. Hilton Jones (by request) led 103t from the Old School Hymnal in memory of his father, Gaither Jones. Dennis George led “Beulah Land”. Elder Walter Blair closed the memorial lesson with prayer.LUNCHThe afternoon of singing began with Jarrod George leading songs on pages 358 and 145b. Leaders: Arlon Gardener 422b, 522; Theresa Hood 199, 572 (in memory of her mother); Dan Coit 128; John Merritt “Delusion”; Mark Davis 54 and 497; John L. Van Horn 378t, 45b; Walter Blair 174 (Old School Hymnal); Jim Fields 372 (Old School Hymnal); Bill Hogan 499; Haley Gray and Tim Gray 388; Warren Steel 395b, 422t; John Merritt 263 (Old School Hymnal); A.E. Probst 270.Andrew Albers led song on page 500 as the closing song. Arlon Gardener dismissed the class with prayer.Chairman - John Merritt; Vice Chairman - Andrew Albers; Secretary - Jean Gray."	1999	0	0	0	0	0	0	0	0
Jordan’s Chapel Methodist Church	Newell, Randolph County, Alabama	October 24, 1999	"The annual Sacred Harp singing at Jordan’s Chapel Methodist Church was held the fourth Sunday in October. The class was called to order at 10:00 a.m. by Lonnie Rogers leading songs on pages [101t] and [75]. The morning prayer was offered by the pastor of the church, Rev. Julian Murphy. B.J. Harris led songs on pages [503] and [225t].The class organized for the day with the following officers elected or appointed to serve: Chairman - Lonnie Rogers; Vice Chairman - B.J. Harris; Secretary and Arranging Committee - Hester Edwards; Memorial Committee - Shelbie Sheppard.Leaders: Jimmie Denney [145t], [145b], [143]; Evelyn Harris [47t], [155], [108t]; Roy Nelson [283], [176t], [282]; Bobby Jackson [59], {81}, “Mercy Seat”; Shelbie Sheppard [332], [100], [164]; Everette Denney [68b], [426t], [119], [405].RECESSB.J. Harris called the class to order leading songs on pages [452] and [358]. Leaders: Henry Johnson [47b], [48b], [77t]; Lewis Norton [457], [30b], [32t].The memorial lesson was given by Shelbie Sheppard and songs on pages [204] and [294] were sung for the following deceased: Dura Johnson, Rena Mae Henson, and Velma Richardson. Rosa Hughes had requested [204] be sung in memory of her niece, Velma Richardson. The family of Rena Mae Henson had requested that [294] be sung in her memory.Roy Nelson was requested to lead song on page [349] for the sick and shut-ins. Elder Lewis Norton closed the memorial with prayer.LUNCHThe afternoon session was brought to order by Lonnie Rogers leading song on page [112]. Leaders: Celia Sanders [339], {354}; Cecil Edwards [341], [314], [490] (for his wife, Reba Edwards); Frank Bell Reeves and Pam Brown {274}; Frank Bell Reeves and Billy Mitchell [45t]; Tabitha Murphy and Evelyn Harris [87], [49b], [72b]; Celia Sanders [452], [146]; Roy Nelson [61]; Lewis Norton [410t]; B.J. Harris [340]; Bobby Jackson [290]; Jimmie Denney [30t]; Everette Denney [169]; Cecil Edwards [37b]; Jeff Sheppard [313t], [222] (for Vivian Rogers); class (by request) [358]; Henry Johnson [295].Announcements were made. Lonnie Rogers and B.J. Harris led song on page {348} as the closing song. Rev. Julian Murphy dismissed the class with prayer.Chairman - Lonnie Rogers; Vice Chairman - B.J. Harris; Secretary - Hester Edwards."	1999	1	56	0	4	0	4	60	0.0666666666666667
University of Chicago Anniversary Singing	Friends’ Meeting House, Chicago, Illinois	October 30, 1999	"The second session of the University of Chicago Anniversary Singing was called to order at 11:30 a.m. by outgoing Chairman Mark Miller leading song on page [99]. After welcoming remarks were given, Jim Swanson led the class in prayer.Leaders: Kiri Miller [270]; Kate Lingley [59]; Jim Swanson “Sessions” (CB); Marcia Johnson [440]; Jim Page “South Dakota” (by Jim Page); Bill Beverly {52}.A short business meeting was conducted with the following officers elected or appointed to serve: Chair - Kiri Miller; Vice Chair - Kate Lingley; Secretary - Mark Miller; Chaplain - Jim Swanson; Arranging Committee - Mark Miller; Memorial Committee - Suzanne Flandreau and Jim Swanson; Resolutions Committee - Cathryn Baker; Finance Committee - Dean Slaton.Leaders: John Seaton [47t]; Berkley Moore “Lingham” (ACH); Cathryn Baker “Boulder” (by Ted Johnson); Dave Stockwell [63]; Doug Stapleton [66]; Pete Ellertsen “Devizes” (NHC).RECESSKate Lingley brought the class to order leading song on page [178]. Leaders: Suzanne Flandreau {274}; Rosemary Greenaway [171]; Martha Beverly “Palmetto” (CB); Dean Slaton [110]; Ann Meczulski {378}; Randy Neufeld [128].Jim Swanson began the memorial lesson noting the importance in the Jewish tradition of sanctifying a space to be used for an important purpose, and its similarity to the manner in which singers are careful always to take time out of a singing, when they’d be happy to sing straight through, to sanctify time with the memorial lesson. He then expanded and inverted this relation between time, considered in human terms, measured in lives and deaths, and sanctification of it through the cessation of singing, saying that in a larger sense (i.e. not within the temporal confines of a singing), singing is an effective way to sanctify time, and with that, the passing of loved ones. He went on to recount music’s relation to the final moments of several of his friends and family members’ lives, and remarked on the value of that relationship and on the binding force of music on those who celebrated the deaths. Lastly, he read the list and led song on page [159] for the deceased: Lawrence Steger, Ted Storlie, Gerry Armstrong, Gladys Johanan - Illinois; Cleo Hawkins - Mississippi; Ethel Klein - Florida.Suzanne Flandreau continued the lesson on behalf of the sick and shut in, emotionally recounting the wonderfulness and terribleness of her thirty years of singing, meeting singers, watching them pass away or into less active phases of their lives having gone from thinking the memorial lesson a somewhat mundane and not entirely welcome adjunct to the Sacred Harp tradition to considering it to be at the core. The extent to which she has been transformed was exemplified, she believed, by the fact that in her earlier years of singing she knew no one who was on the memorial lists, but at this day’s singing alone, she added five names herself, in addition to knowing a great many others. Sick and shut-ins: Linda Morris - Maryland; John Flandreau - New York; Bernice Embry, Hugh Bill McGuire, and Madeline Steel - Mississippi; Bob Scorgie and Nick Fabke - Wisconsin; John Bailey and Melanie Hauff - Illinois; Virgil Phillips and Ruby Philips - Alabama; Vivian Rogers - Georgia.The memorial was closed.Leaders: Jim Helke [186]; Susan Geil {81}; Bruce Holmes {147}; Sue Kessel [146]; Steve Warner [89]; Ted Johnson [84].LUNCHKiri Miller brought the class to order leading song on page [454]. Leaders: Berkley Moore [179]; Judy Hauff [332]; Patrick McGuire [59]; Steve Warner [203]; Rosemary Greenaway [384]; Kelly Brest van Kempen {312}; Pete Ellertsen [89]; Randy Neufeld {80}; Dave Stockwell [155]; Martha Beverly [212]; Mark Miller [183]; Marcia Johnson [436]; Doug Stapleton [344]; Jim Page [216]; Jim Helke [501]; Melanie Hauff [215]; Bill Beverly [86]; Ted Johnson [269]; Ann Meczulski [339]; Dean Slaton [348b]; Jim Swanson [133]; Susan Geil {410}.RECESSMark Miller brought the class to order leading song on page [267]. Leaders: Martin Pergler [455]; Ariel Weinburger [47b]; Violet Stark [358]; Rosemary Greenaway {163}; Sue Kessel [236]; Cathryn Baker [472]; Ann Meczulski [361]; Melanie Hauff [542]; Bill Beverly [503]; Martin Pergler [268].RECESSKate Lingley brought the class to order leading song on page [196]. Leaders: Suzanne Flandreau [148]; Jim Page [550]; Martha Beverly [430]; Pete Ellertsen [473]; Kelly Brest van Kempen [335]; Berkley Moore [85]; Judy Hauff [528]; Patrick McGuire {49}.Chair Kiri Miller called for committee reports.The finance committee reported that expenses for the singing had been met.The Arranging Committee reported that 33 leaders had led 69 songs for {47} registries and approximately [55] attendees, some coming from Wisconsin, Ohio, Michigan, New Jersey, and Ontario.The Resolutions Committee gave the following report:“Let us first resolve to be thankful to God for providing us with the gift of song with which to sing His praise... And whereas we could not enjoy such company or carry on the tradition and love of this music without dedicated people, let us resolve to be thankful for all those who have helped this fledgling Hyde Park group come to existence and carry on for these past two years. We would like to make a special resolution for Suzanne Flandreau who has tirelessly listened to our ideas and helped to shape them even more surely than we sometime named our notes... The weekly singings have also benefited greatly from the presence of Doug Stapleton and Bruce Holmes...The undergrads, especially the first year students, should be thanked...They have shown great persistence in coming each week to the singings in the neighborhood and even getting us to sing songs we don’t know, because they don’t know what we have sung a hundred times...Let’s be resolute in thanking the Chicago Sacred Harp Singers for all their assistance to us, morally, emotionally, and in actual task assistance... Which brings us to thankfulness and appreciation for all those who brought food, and those who enjoyed it...There are people who do lots of work to pull these singings off. To that end, let’s resolve to thank all the officers and committees. You who have come from downstate Illinois, New Jersey, Michigan, Wisconsin and Ontario are part of what helps maintain the links of our fellowship, much as circuit preachers once did for the singing schools in earlier times. So we much appreciate the time you have taken to join us in song and fellowship and hope to join you in your singings. We are mindful that the music is primarily for the praise of God and joy in the creation and that we are only here a short while, so we need to be mindful of how we live...”The resolutions were approved for addition to the minutes of the singing by unanimous consent.Announcements were made. Kiri Miller led song on page [347] as the closing song. Chaplin Jim Swanson dismissed the class with prayer.Chairman - Kiri Miller; Vice Chairman - Kate Lingley; Chaplain - Jim Swanson; Secretary - Mark Miller."	1999	1	56	0	11	0	11	67	0.164179104477612
Southwest Texas Sacred Harp Singing Convention (Cooper Book)	Littlevine Primitive Baptist Church, Austin, Texas	October 30-31, 1999	"Saturday, October 30The fall session of the ninety-ninth annual session of the Southwest Texas Sacred Harp Singing Convention met at Littlevine Primitive Baptist Church, Austin, Texas beginning on Saturday, October 30. Chairman John Baker opened at 9:30 a.m. leading songs on pages 41 and 335. Elder Billy Moseley offered the morning prayer. Vice Chairman Leon Ballinger led songs on pages 330t and 300; Secretary Pat Blundell 136, 159.Leaders: Al Rogers 63, 505; Sarah Coates 331t, 198; Kevin Powell 200, 240; Cissy Moseley 573, 276; Dick Steil 72, 268t; Olivia Powell 132, 168; Doris Hanks 355, 450; B.E. Matthews 522, 578 (“Love At Home”); Robert Handel 410, 50t.RECESSJohn Baker brought the class to order leading song on page 40. Leaders: Owen Ross 489, 230; Paul Wyatt 453b, 488b; Cindy Kissee 33, 47b; D.J. Hatfield 201, 98; Ophelia Matthews 507b, 511b; H.P. O’Mary 71t, 31t; Ernestine Pipkin 497, 186; Johnny Lee 53, 500; Kelly Beard 402, 403; Sue Hanson 137, 46; Ronald Baker 148, 128; Charlie Obert 184b, 216. B.E. Matthews offered prayer for lunch.LUNCHVice Chairman Leon Ballinger called the class to order leading song on page 384. Leaders: Jeb Owen 442t, 559; Liz Rogan 371, 543b; Frank Price 323b, 571; Josh Rogan 383, 365; David Moseley 196, 112; Beverly Coates 106, 392; David Polacheck 324, 38b; Nathan Morgan 76b, 558b; Myrl Jones 183, 189; Reed Coates 358, 99; Gary Rogan 541, 411; Gaylon Powell 192, 434; Catherine Rogan 293b, 146; Johnny Lee gave a demonstration of “walking time” as is the custom in Hoboken, Georgia; Bruce Coates 395b, 39; Morris Nelms 27, 28t; Robert Vaughn 49t, 49b; Mary Bachmann 78, 568; Mike Moseley 376, 163t; Vivian Rogan 32t, 508; D.J. Hatfield 225, 122; H.P. O’Mary 61, 275b; Ernestine Pipkin 110 (December 1799, President George Washington died and this song was written), 203; Kelly Beard 288, 290.Chairman John Baker led song on page 69 as the closing song. Bruce Coates dismissed the class with prayer.Sunday, October 31The convention was called together at 9:30 a.m. by Chairman John Baker leading songs on pages 61 and 268t. Tom Owen offered the morning prayer.Leaders: Vice Chairman Leon Ballinger 212, 217; Secretary Pat Blundell 164, 168; Nathan Morgan 270, 142; Curtis Owen 198, 204; Katie Moseley 186, 137; Liz Rogan 215, 522; B.E. Matthews 414, 434; Mary Bachmann 562, 393t; Paul Wyatt 199, 129; Cindy Kissee 53b, 42; Charlie Obert 38t, 299; Amanda Owen 192, 411; Myrl Jones 300, 572.RECESSJohn Baker brought the class to order leading song on page 408. Leaders: Vivian Rogan 49, 283t; Frank Price 127, 135; Jennifer Obeidin 196, 112; Robert Vaughn 71, 36t; Josh Rogan 182, 220; Cheryl Foreman 324, 470; Zach Rogan 280, 282; Johnny Lee 515, 569; Olivia Powell 274t, 128; Robert Handel 140, 268b; Edith Owen 489, 511b.Leon Ballinger and Jeb Owen led song on page 122 for the memorial lesson to remember those who have passed away in the past year. Those remembered were: Carl Paris, Larry Schutz, Richard Daniels, Willia Cole, Bob Evans, Buddy Fowler, Annie D. Frank, and Frank Taylor.Bruce Coates led song on page 147t for the sick and shut-ins: Verna Powell, Mildred Edmonds, Ed Craig, Alcie Craig, Myra Palmer, Lawson Smith, Junior Smith, Don Petries, and Charles Whitmer. Elder Robert Vaughn offered prayer to close the memorial.LUNCHJohn Baker called the afternoon session to order leading song on page 239. Leaders: Morris Nelms 422t, 505; Catherine Rogan 358, 290; Gaylon Powell 232, 235; Terre Schill 337, 383; David Polacheck 159, 484b; Sarah Coates 123b, 29t; Tom Owen 507t, 450; Al Rogers 45t, 575; Cissy Moseley 507b; Dick Steil 143, 451; Reed Coates 222, 559; Doris Hanks 411b, 444t; Judy Nieta 571, 277; George Jones 236b, 558; Beverly Coates 425b, 460; Gary Rogan 155, 304; Bruce Coates 133, 336t; Jeb Owen 381, 36b; Kevin Powell 216, 331b; Mike Moseley 285t, 40.Chairman John Baker led song on page 62 as the closing song. Johnny Lee dismissed the class with prayer.Chairman - John Baker; Vice Chairman - Leon Ballinger; Secretary - Patricia Blundell."	1999	0	0	0	0	0	0	0	0
Bethel Primitive Baptist Church	Heard County, Georgia	November 6, 1999	"The singing at Bethel Primitive Baptist Church in Heard County, Georgia was held on Saturday before the first Sunday in November, and was called to order by Everette Denney leading songs on pages [59] and [63]. Felton Denney led the morning prayer.Leaders: Felton Denney [72b], [73b]; Josephine Denney [50b], [31b]; Mary Florence Smith [27], [225t]; Bernard Denney [335], [155]; Margie Smith [101t], [512]; Jimmie Denney [143], [30t]; Allen Fannin [73t], [142]; Teenie Moody [78], [171]; Lonnie Rogers [318], [222]; John Plunkett [38t], [271b]; Henry Johnson [285t], [388].RECESSEverette Denney brought the class to order leading song on page [405].A business session was held with the following officers elected: Chairman - Everette Denney; Vice Chairman - Felton Denney; Secretary - Josephine Denney; Arranging Committee - Mary Florence Smith.Leaders: Syd Caldwell [36b] (for Rosa Hughes who is in the hospital), [434] (for Dan Brittain); Howard McGuire [45t], [192]; Bobby Jackson [81t], [569b]; Hugh McGraw [569t], [510]; B.M. Smith [475], [384], [284]; Charlene Wallace [79], [85]; Shelbie Sheppard [105], [484]. Hugh McGraw asked the blessing on the food.LUNCHThe class resumed singing with song on page [87]. Leaders: Don Bowen [283], [548]; Jeff Sheppard [540], [91]; Judy Mincey [497], [287]; Allen Fannin [196], [186]; Syd Caldwell [150], [383]; Henry Johnson [135]; John Plunkett [407]; Bobby Jackson [290]; Lonnie Rogers [112] (for Vivian Rogers), [348b]; Lonnie Rogers and Elaine McLain [358]; Jimmie Denney [313t]; B.M. Smith and Margie Smith [167], [503]; class [57], [460]; Don Bowen and Syd Caldwell [77b] and [34b]; Teenie Moody and daughter, Alecia Green [268].Everette Denney and Felton Denney led song on page [46] as the closing song. Howard McGuire dismissed the class with prayer.Chairman - Everette Denney; Vice Chairman - Felton Denney; Secretary - Josephine Denney."	1999	1	66	0	0	0	0	66	0
Mt. Ebron Church Memorial Singing	Near Double Springs, Alabama	November 7, 1999	"The ninety-fourth session of the annual Mt. Ebron Church Memorial Singing was held on the first Sunday in November and was called to order by John Hyde leading songs on pages [39b] and [37b]. Harrison Creel offered the morning prayer.The class organized with the following officers elected or appointed to serve: Chairman - John Hyde; Vice Chairman - Travis Keeton; Secretary - Jayne Fulmer; Arranging Committee - Josie Hyde.Leaders: John Hyde [61]; Kenneth Tate [124], [343]; Corene White [73t], [379]; Vernice Phillips [112], [300]; Lavaughn Ballinger [84], [405]; Gladys Bonds [499], [77t]; Wilton Donaldson {30}, [31b]; Marie Guthrie [166], [189]; Earl Ballinger [187], [292]; L.E. Hannah [498], [83t]; Travis Keeton {348}, [179]; Mae Conwill [314], [298]; Bobby Robbins and Lavaughn Ballinger [445], {45}.RECESSThe class reassembled with Elmer Conwill leading songs on pages [129] and [74b]. Leaders: Roma Rice {448}, {49}; Donald Roberson [340], [274t]; Edith Tate [212], [446]; Pastor Joel Hutchenson and Lavaughn Ballinger [294], [79]; Eldagene Roberson [215], [203]; Margaret Keeton 577, [495]; Harrison Creel [111b], [512].LUNCHThe afternoon session began with Larry Ballinger leading song on page [78]. Leaders: Flarce Creel [270]; Elvin Guthrie [373], [398]; Amber Springfield [391], [58]; Willodean Barton [418], {101}; Kenneth Shaddix and Jayne Fulmer [454], [358]; Faye Donaldson [431], [40]; Christopher Rice [384], [276]; Joyce Norris [327]; Betty Baccus, Ashley Cook, Julie Ann Cook, and Matthew Cook [59], [388]; Dawson Adams {68}; Kenneth Tate {37}, {275}; Josie Hyde [507]; Edith Tate [532]; Josie Hyde [220], [236].John Hyde and Travis Keeton led song on page [63] as the closing song. Lavaughn Ballinger dismissed the class with prayer.Chairman - John Hyde; Vice Chairman - Travis Keeton; Secretary - Jayne Fulmer."	1999	1	58	0	9	0	9	67	0.134328358208955
Holly Springs Primitive Baptist Church	South of Bremen, Georgia, off Highway 27 and I-20	November 7, 1999	"The annual all day Sacred Harp singing was held at Holly Springs Primitive Baptist Church on the first Sunday in November. The class was called to order by Charlene Wallace leading song on page [59]. The morning prayer was led by Elder Homer Benefield.Leaders: Charlene Wallace {81}; Carlene Griffin [37b]; Cindy Cole [222]; Mildred Patterson [111b]; Cathy White and Joel Goodman [178]; Don Bowen [99]; Jan House [155]; Roy Nelson [132]; Myron House {131}; Mary Florence Smith [383] (in memory of her parents and grandparents, and for Rosa Hughes who is sick); Bobby Jackson [282]; Teenie Moody and Micheline Beluse [430]; Charles Woods [373] (in memory of the McGraw and Denson families); Andy Anderson [535]; Karen Morris [485]; John Whittemore [168]; Jeannette DePoy [566] (for her mother and godmother); Henry Johnson {385}.The business session was held with the class voting to retain the following officers: Chairman - Charlene Wallace; Vice Chairman - Carlene Griffin; Arranging Committee - Hugh McGraw and Judy Henry; Secretary - Judy Henry.RECESSThe class was called together by Earlis McGraw leading song on page [224]. Leaders: Evelyn Harris [84]; Richard DeLong [336]; Judy Mincey [538]; Robbie Rivers [212]; Amanda Denson-Brady [385b]; Eric Tweedy [315]; Reba Windom [171]; Johnny Wright [455]; Shelbie Sheppard [263]; Syd Caldwell and Hugh McGraw [548]; Al Grindon {313}; Allen Fannin [378b]; Toney Smith [524]; Louis Hughes, Sr. [347];Jeff Sheppard [362]; Lonnie Rogers [225t]; Carri Grindon [229]; Kelly Morris [159]; Kenneth DeLong [568]; Edmund Golloday and Hugh McGraw [489b//489].LUNCHThe afternoon session was called to order by Phillip Langley leading songs on pages [456] and [218]. Leaders: Faye Pettis [532]; Charles Franklin [480]; Felton Denney {31}; Margie Smith and Nancy Allen [501]; Sheri Taylor [300] (in memory of Henry Wilson); G.P. McClendon [49b]; Laura Akerman [192]; Rev. Loyd Toney [100]; Eloise Watkins [35]; Martha Ann Stegar [268]; Everette Denney {426}; J.W. “Bud” Oliver [42]; B.M. Smith [448b]; B.J. Harris [503]; Lisa Webb [542]; Charles Franklin {176}; Amanda Denson-Brady [280]; Syd Caldwell [216].RECESSThe class was called together by Charlene Wallace leading song on page [79]. Leaders: Charlene Wallace and Richard DeLong {410} (for Jap and Joyce Walton); Judy Henry and Carolyn Huckeba [144], [84] (by request); Allen Fannin [528]; Don Bowen and Jeannette DePoy [146]; Josephine Denney [143]; Myron House [545] (in memory of Garfield Rainwater and Henry Wilson); Judy Mincey [50b]; Louis Hughes, Sr. {147}; Laura Akerman [518] (in memory of Bob Hart); Henry Johnson [47b]; Carri Grindon [122]; Kenneth DeLong [279]; Eric Tweedy [454]; John Whittemore [75]; Al Grindon [327]; Reba Windom and Kathy James [76b].Announcements were made. Charlene Wallace and Carlene Griffin led song on page [46] as the closing song. The class was dismissed with prayer by B.J. Harris.Chairman - Charlene Wallace; Vice Chairman - Carlene Griffin; Secretary - Judy Henry."	1999	1	69	0	9	1	10	79	0.126582278481013
Alvis Brothers and B.I. Wood Memorial Singing	Pilgrim’s Rest Primitive Baptist Church, Attalla, Alabama	November 7, 1999	"The annual Sacred Harp singing held at Pilgrim’s Rest Primitive Baptist Church was called to order by Ron Crocker leading song on page [47t]. Othie Chamblee led the morning prayer. Carmon Brothers led songs on pages [74t], [172], and [512] in memory of Alvis Brothers.The class was organized with the following officers elected or appointed to serve: Chairman - Ron Crocker; Vice Chairman - Lamar Smith; Secretary - Hazel Brothers; Arranging Committee - Ella Ruth Chamblee and Ruby Brothers.Leaders: Ron Crocker [146]; Seth Crocker [452b//452]; Andrew Crocker [128], [127]; Danielle Crocker [49t], [401], [36b]; John Merritt [358], [68b]; Amy Crocker [48t], [354b]; Brenda Merritt [129], [124]; Randall Smith and Lamar Smith [76b], [343b//343], “That Beautiful Land”.RECESSRon Crocker brought the class to order leading song on page [147t]. Leaders: Carmon Brothers and Ruby Brothers [569b], [112], [340]; Billie Dean Waid, Gloria Hutchens, Avie Blackwood, and Doris Brown “What A Day That Will Be” (OSH), “A Light At The River” (OSH), [490], [119]; Phil Brothers [274t], [361]; Hazel Brothers, Kathy Brothers, and Sherry Tanner [460], “Brown”, [141], [373]; Linda Thomas [345b], [39t], [73b]; Milton Oliver [335], [321].LUNCHThe afternoon session began with Ron Crocker leading song on page [38b]. Leaders: Coleman Crocker [75], [138b]; Deborah Ritch [385b]; Chita Blakeley [57], [123t]; Joycie Wooten and Ovada Carr [122], [40]; Ella Ruth Raines and Billie Dean Waid [39b], {77}, [495]; Andrew Crocker [294], [388]; Danielle Crocker [159], [84], [87], [143]; Amy Crocker [410t], [45t], [235b//235]; Andrew Crocker [58], [59], [31t], [445b//445]; John Merritt and Brenda Merritt [448b], [448t]; Deborah Ritch [490].Ron Crocker led song on page [285t] as the closing song. The class was dismissed with prayer led by Elder Cook.Chairman - Ron Crocker; Vice Chairman - Lamar Smith; Secretary - Hazel Brothers."	1999	1	58	0	1	4	5	63	0.0793650793650794
